Payment ID,Order ID,Gross Amount,MDR Fee,GST on Fee (18%),Net Settlement Amount,Payout UTR,Settled Date
pay_overcharge_1042,ORD_1042,4049.00,121.47,21.86,3905.67,UTR20260901FEEERR1042,2026-09-01T15:30:00Z
pay_overcharge_1043,ORD_1043,5575.00,167.25,30.11,5377.64,UTR20260901FEEERR1043,2026-09-01T16:35:00Z
pay_overcharge_1044,ORD_1044,8950.50,268.52,48.33,8633.65,UTR20260901FEEERR1044,2026-09-01T13:40:00Z
pay_overcharge_1045,ORD_1045,13125.00,393.75,70.88,12660.37,UTR20260901FEEERR1045,2026-09-01T14:45:00Z
pay_overcharge_1046,ORD_1046,16649.00,499.47,89.90,16059.63,UTR20260901FEEERR1046,2026-09-01T15:50:00Z
pay_overcharge_1047,ORD_1047,23175.00,695.25,125.15,22354.60,UTR20260901FEEERR1047,2026-09-01T16:55:00Z
pay_overcharge_1048,ORD_1048,36200.00,1086.00,195.48,34918.52,UTR20260901FEEERR1048,2026-09-01T13:00:00Z
pay_unsettled_1049,ORD_1049,49734.00,994.68,179.04,48560.28,UTR20260901UNSTLD1049,2026-09-01T15:43:00Z
pay_unsettled_1050,ORD_1050,50750.00,1015.00,182.70,49552.30,UTR20260901UNSTLD1050,2026-09-01T15:50:00Z
pay_unsettled_1051,ORD_1051,2615.00,52.30,9.41,2553.29,UTR20260901UNSTLD1051,2026-09-01T15:57:00Z
pay_unsettled_1052,ORD_1052,3980.00,79.60,14.33,3886.07,UTR20260901UNSTLD1052,2026-09-01T15:04:00Z
pay_unsettled_1053,ORD_1053,7545.00,150.90,27.16,7366.94,UTR20260901UNSTLD1053,2026-09-01T15:11:00Z
pay_unsettled_1054,ORD_1054,10809.00,216.18,38.91,10553.91,UTR20260901UNSTLD1054,2026-09-01T15:18:00Z
